direction	rank	gene	logFC	PValue	FDR
disc_cluster2_up	1	PICALM	0.325340924231715	5.27513449001667e-10	4.60987487265244e-08
disc_cluster2_up	2	SRGAP2B	0.340643922078838	6.69208998764662e-10	5.49277723143354e-08
disc_cluster2_up	3	SRGAP2	0.288041731100917	2.80613784570527e-09	1.91577915540907e-07
disc_cluster2_up	4	MAML2	0.330885116234311	3.85486186165283e-09	2.53691584679045e-07
disc_cluster2_up	5	SRGAP2C	0.315578108966305	1.41259319720054e-08	7.37070950396427e-07
disc_cluster2_up	6	BMP2K	0.277283818677158	1.7312691325566e-08	8.84400070861955e-07
disc_cluster2_up	7	MEF2A	0.253465089365416	2.56932765149333e-08	1.25126256627725e-06
disc_cluster2_up	8	PTPRC	0.284777073763046	4.45535314996844e-08	1.96062378075418e-06
disc_cluster2_up	9	FAM49B	0.267421728724841	5.03444690347671e-08	2.1506803877133e-06
disc_cluster2_up	10	RAP1A	0.279082035217386	8.03427702816324e-08	3.18969530927894e-06
disc_cluster2_up	11	ENTPD1	0.335500041373734	8.29747117751183e-08	3.27637983522832e-06
disc_cluster2_up	12	BLNK	0.308118149394887	8.71449204050365e-08	3.38613640190847e-06
disc_cluster2_up	13	TCF12	0.299342543078469	9.51169147937682e-08	3.60015058325636e-06
disc_cluster2_up	14	DLEU2	0.334088993249325	1.13937120442263e-07	4.20358921631683e-06
disc_cluster2_up	15	DOCK4	0.276919136342461	1.26595971096291e-07	4.58082016021211e-06
disc_cluster2_up	16	GNB4	0.317072420529231	1.27297261125675e-07	4.58082016021211e-06
disc_cluster2_up	17	DOCK8	0.244804279495856	1.4221982652683e-07	4.92377171932936e-06
disc_cluster2_up	18	SOCS6	0.336920633095132	1.86677293695203e-07	6.14269202902457e-06
disc_cluster2_up	19	TGFBR1	0.311120837552681	2.08945546880314e-07	6.81405008911025e-06
disc_cluster2_up	20	BNC2	0.368674284807087	2.71820209443896e-07	8.41375690672738e-06
disc_cluster2_up	21	FGD4	0.271269860023406	2.84321395979032e-07	8.72675545221356e-06
disc_cluster2_up	22	GAB2	0.296138151296466	2.95368787204391e-07	9.0279037260589e-06
disc_cluster2_up	23	RNF13	0.336079909532505	3.17259329569483e-07	9.53736379631719e-06
disc_cluster2_up	24	PLXDC2	0.233663108463583	3.27891508581332e-07	9.69735817889325e-06
disc_cluster2_up	25	MED13L	0.241682942010795	4.56075849464997e-07	1.29635567328475e-05
disc_cluster2_up	26	SPRED1	0.27742222867047	4.62823677888143e-07	1.31043680890422e-05
disc_cluster2_up	27	IL13RA1	0.33103431787065	4.73860114720967e-07	1.33650507260103e-05
disc_cluster2_up	28	APBB1IP	0.23885258139178	6.06864200084862e-07	1.66035317663667e-05
disc_cluster2_up	29	B3GNT5	0.338726520106644	8.69960427075954e-07	2.21103693298874e-05
disc_cluster2_up	30	IL6ST	0.259480208828359	8.99742592013925e-07	2.26642056367646e-05
disc_cluster2_up	31	PIK3AP1	0.280961976206833	9.44413634272056e-07	2.37077030871387e-05
disc_cluster2_up	32	SCIN	0.390136081655135	1.08694332282337e-06	2.67344140512618e-05
disc_cluster2_up	33	MGAT4A	0.253983912835518	1.28905987136879e-06	3.08740405257344e-05
disc_cluster2_up	34	CPVL	0.358667740723819	1.37069408270213e-06	3.25094814095424e-05
disc_cluster2_up	35	CALCR	0.575587530490731	1.52851574514978e-06	3.59029180653349e-05
disc_cluster2_up	36	RANBP9	0.314490637214738	1.59043505014269e-06	3.70004077748165e-05
disc_cluster2_up	37	GNAQ	0.245393812662231	1.89130348504644e-06	4.30697170630897e-05
disc_cluster2_up	38	TLR2	0.344058484731269	1.93067408167323e-06	4.36643163053341e-05
disc_cluster2_up	39	SAMSN1	0.254489727669687	1.97564399836353e-06	4.45434549631036e-05
disc_cluster2_up	40	OLR1	0.355964249756261	2.03163733181909e-06	4.55248794752714e-05
disc_cluster2_up	41	KCNK13	0.282009767436674	2.11089574431311e-06	4.70124799152662e-05
disc_cluster2_up	42	SLC9A9	0.22539496073414	2.181843567342e-06	4.79101141868605e-05
disc_cluster2_up	43	NPL	0.288485945648707	2.23300903113804e-06	4.85047978470393e-05
disc_cluster2_up	44	PELI1	0.278279060081739	2.24502229892067e-06	4.85047978470393e-05
disc_cluster2_up	45	PLA2G4A	0.340833056224995	2.30597408602625e-06	4.93992395848145e-05
disc_cluster2_up	46	CHST11	0.247874706978147	2.32610943617214e-06	4.96848813778874e-05
disc_cluster2_up	47	MAML3	0.250677612186738	2.57909803139943e-06	5.42948447244175e-05
disc_cluster2_up	48	ST8SIA4	0.299571961719608	2.64458589790219e-06	5.55135057016538e-05
disc_cluster2_up	49	WSB1	0.269546759870374	3.18411116187714e-06	6.55209353169366e-05
disc_cluster2_up	50	LYN	0.28690600853067	3.40817197543545e-06	6.85859401668209e-05
disc_cluster2_up	51	FOXN3	0.22550812202918	3.42763621695624e-06	6.87881389144652e-05
disc_cluster2_up	52	PAG1	0.260338282339424	3.63221973206176e-06	7.17117976830032e-05
disc_cluster2_up	53	WASHC4	0.272222797937992	3.7975837963238e-06	7.45735205165198e-05
disc_cluster2_up	54	ANKRD44	0.234655555385716	4.26822598825222e-06	8.22675220163126e-05
disc_cluster2_up	55	PLD1	0.284352234845377	4.58235916522242e-06	8.69458018232461e-05
disc_cluster2_up	56	FAM135A	0.288277639729153	4.62663145489163e-06	8.7332151881094e-05
disc_cluster2_up	57	HCLS1	0.313946260702352	4.81646257584888e-06	9.06810801973609e-05
disc_cluster2_up	58	PRKCH	0.353639811435882	5.02613832653597e-06	9.41434371162699e-05
disc_cluster2_up	59	TAB2	0.270756097263921	5.63078095555283e-06	0.000104663752876116
disc_cluster2_up	60	CX3CR1	0.257933529959448	6.05778615472877e-06	0.000111747797627004
disc_cluster2_up	61	RHOQ	0.32338284291066	6.50260671598092e-06	0.000118457710873418
disc_cluster2_up	62	SH3RF3	0.230820625281523	6.54457147447638e-06	0.000118925608510075
disc_cluster2_up	63	PHC3	0.292113472643339	6.62278597438375e-06	0.000120048266855765
disc_cluster2_up	64	WDFY4	0.254684334933299	6.71993646917417e-06	0.000121507762146825
disc_cluster2_up	65	UVRAG	0.229620515511212	6.88064526927371e-06	0.000123496593837947
disc_cluster2_up	66	USP53	0.242113114648727	6.9796577336059e-06	0.000124966666039194
disc_cluster2_up	67	HNRNPC	0.249484654480234	7.09476865272713e-06	0.000126717078259588
disc_cluster2_up	68	CCNH	0.277974827991169	7.18754157640173e-06	0.000128060954184426
disc_cluster2_up	69	RIN2	0.254675858291203	7.22534403716733e-06	0.000128421260806587
disc_cluster2_up	70	TBC1D9	0.271369880245421	7.38443511682663e-06	0.000130775641311451
disc_cluster2_up	71	ST6GALNAC3	0.212444059250862	7.96085533485055e-06	0.000140130236677309
disc_cluster2_up	72	ARHGAP24	0.333310175663298	8.26028097618495e-06	0.000144357302705816
disc_cluster2_up	73	LINC01001	0.594150970058727	8.33990405303794e-06	0.000145054759779624
disc_cluster2_up	74	TM6SF1	0.306783678236293	9.18968589460362e-06	0.000159077382606823
disc_cluster2_up	75	FBXO11	0.239721466213716	9.32524487699402e-06	0.000160925432542979
disc_cluster2_up	76	FAM13A	0.248760871090084	9.68768421365794e-06	0.000166123317325754
disc_cluster2_up	77	PHC2	0.273934906522719	1.02468874253e-05	0.000173680855520292
disc_cluster2_up	78	CDK6	0.280004167433237	1.0247289353764e-05	0.000173680855520292
disc_cluster2_up	79	B4GALT1	0.330063941870016	1.0275038034532e-05	0.000173748038986704
disc_cluster2_up	80	C1QC	0.439614292441363	1.06451664399401e-05	0.000179299315241341
disc_cluster2_up	81	DIP2B	0.235320429816193	1.07646802130746e-05	0.000179945054820389
disc_cluster2_up	82	CEBPB	0.447208282398073	1.09381321028746e-05	0.0001824270662363
disc_cluster2_up	83	ZEB2	0.208639886736036	1.12044674516406e-05	0.000186019624395988
disc_cluster2_up	84	TBC1D12	0.272772448197698	1.16860855718866e-05	0.000193137681227673
disc_cluster2_up	85	WNT5A	0.499534947055674	1.26661658604048e-05	0.000205614092467237
disc_cluster2_up	86	PTPRJ	0.22204949109073	1.3329612308117e-05	0.000214006193210538
disc_cluster2_up	87	RREB1	0.249665212015628	1.34106864483879e-05	0.000214835667775161
disc_cluster2_up	88	ARHGAP15	0.25083185272915	1.37887996811091e-05	0.000219928344258737
disc_cluster2_up	89	P2RY12	0.216628489606419	1.51883159104964e-05	0.000239634228350273
disc_cluster2_up	90	MBNL1	0.206372113552313	1.5228291531903e-05	0.000239645562247444
disc_cluster2_up	91	IFNGR1	0.26517261256034	1.52546456461412e-05	0.000239645562247444
disc_cluster2_up	92	ETV6	0.242533971251148	1.56422424645419e-05	0.000245207255801456
disc_cluster2_up	93	ANKS1A	0.233584098395426	1.68581687580035e-05	0.00026146268105566
disc_cluster2_up	94	MKLN1	0.221783864583548	1.69107940043707e-05	0.000261723199580356
disc_cluster2_up	95	ELMO1	0.20405938602302	1.75267673124197e-05	0.000270111888643937
disc_cluster2_up	96	RAF1	0.308599480459128	1.80771874302405e-05	0.000276842461588903
disc_cluster2_up	97	GPR34	0.388184150636047	1.9261585015908e-05	0.000293749224511916
disc_cluster2_up	98	PDK4	0.571387375923998	1.95656207059628e-05	0.000297764290118871
disc_cluster2_up	99	RUBCNL	0.247548960903209	2.13882468046319e-05	0.000322812278735198
disc_cluster2_up	100	RBM47	0.236888153692328	2.33906833295204e-05	0.000348001917967712
disc_cluster0_up	1	CTNNA2	-0.872346199074213	2.64229729539618e-22	1.93019817428691e-18
disc_cluster0_up	2	CSMD3	-0.911157472869579	1.47478481932996e-20	5.38665155260267e-17
disc_cluster0_up	3	NRG3	-0.781351894606318	1.35523674941768e-19	3.30000148483204e-16
disc_cluster0_up	4	RIMS2	-0.792383197307345	3.31539834618037e-19	6.0547462297119e-16
disc_cluster0_up	5	ROBO2	-0.720441116988265	3.73712368916587e-18	5.45993770987134e-15
disc_cluster0_up	6	FP671120.1	-0.568568416007983	1.16630275092726e-17	1.41997359925394e-14
disc_cluster0_up	7	ADGRL3	-0.762159366248203	5.97375470708915e-17	5.73726743555785e-14
disc_cluster0_up	8	GPM6A	-0.71747780968309	6.39005889141855e-17	5.73726743555785e-14
disc_cluster0_up	9	DLGAP2	-0.766594162587116	7.06850197399324e-17	5.73726743555785e-14
disc_cluster0_up	10	NKAIN2	-0.711105225404428	4.14534041697337e-16	3.02817117459904e-13
disc_cluster0_up	11	SPARCL1	-0.564345673752641	5.80656750823192e-16	3.85608869523947e-13
disc_cluster0_up	12	CNTN5	-0.749710650523209	1.66257927152786e-15	9.4129153629402e-13
disc_cluster0_up	13	DMD	-0.774313516409709	1.67512525281619e-15	9.4129153629402e-13
disc_cluster0_up	14	SLC24A2	-0.765420690070419	8.32319548348747e-15	4.34292450049114e-12
disc_cluster0_up	15	LRRTM4	-0.80589911396615	9.90049924732342e-15	4.8215431334465e-12
disc_cluster0_up	16	LINGO2	-0.749072348662827	3.16579723185668e-14	1.42778721381901e-11
disc_cluster0_up	17	PPP2R2B	-0.656477668590248	3.3227080951298e-14	1.42778721381901e-11
disc_cluster0_up	18	FP236383.1	-0.536636941811497	5.39946863761093e-14	2.19128435543044e-11
disc_cluster0_up	19	GRM5	-0.680778139547685	1.34689875036132e-13	4.98183267027187e-11
disc_cluster0_up	20	FRMD5	-0.74689029486413	1.36395144976643e-13	4.98183267027187e-11
disc_cluster0_up	21	CADM2	-0.685621144854418	1.74722375352699e-13	6.07784262834032e-11
disc_cluster0_up	22	CADM1	-0.70181920939809	2.1499318381664e-13	7.13875094445706e-11
disc_cluster0_up	23	SLC1A2	-0.708949522752108	2.39947567544474e-13	7.62094339527124e-11
disc_cluster0_up	24	AC092683.1	-0.670642458353118	3.3662583268881e-13	1.00572722061422e-10
disc_cluster0_up	25	CNTNAP2	-0.761969320546123	3.44191382824854e-13	1.00572722061422e-10
disc_cluster0_up	26	ARPP21	-0.800297268746922	5.47532074151232e-13	1.53835453910567e-10
disc_cluster0_up	27	RBFOX1	-0.825996651289599	7.01671555699028e-13	1.89841137569682e-10
disc_cluster0_up	28	RGS6	-0.792279464507225	8.5477120262026e-13	2.23003701255036e-10
disc_cluster0_up	29	SYT1	-0.682247372176362	1.13956357040079e-12	2.87052133854407e-10
disc_cluster0_up	30	LRP1B	-0.759292013971502	1.22308167270635e-12	2.92920193162241e-10
disc_cluster0_up	31	CLU	-0.612212931425377	1.243056261195e-12	2.92920193162241e-10
disc_cluster0_up	32	DCC	-0.828989224114802	1.92121310688596e-12	4.37514728563714e-10
disc_cluster0_up	33	ZNF385B	-0.873605117218743	1.97645257256709e-12	4.37514728563714e-10
disc_cluster0_up	34	NRCAM	-0.56138248488495	2.11426280843169e-12	4.54255582811574e-10
disc_cluster0_up	35	NRXN3	-0.621093339022933	2.25196132665865e-12	4.70016499749756e-10
disc_cluster0_up	36	ANK2	-0.470294184204389	2.75507986081889e-12	5.59051621757832e-10
disc_cluster0_up	37	CSMD1	-0.812171506818596	4.1465828006201e-12	8.18669928608914e-10
disc_cluster0_up	38	KCNIP4	-0.898203497641947	4.5032025295631e-12	8.53127595296877e-10
disc_cluster0_up	39	NTM	-0.580340580798974	4.55468531369996e-12	8.53127595296877e-10
disc_cluster0_up	40	CCSER1	-0.558772557545807	4.71586930282997e-12	8.61235631429323e-10
disc_cluster0_up	41	SGCZ	-0.828825580739798	5.39211639258551e-12	9.60717323117979e-10
disc_cluster0_up	42	DCLK1	-0.595262049619554	6.06902460554985e-12	1.05557677960814e-09
disc_cluster0_up	43	XKR4	-0.74434821299527	8.38511766946854e-12	1.42449499012716e-09
disc_cluster0_up	44	DANT2	-0.876804453343286	9.10347112911915e-12	1.5113831045049e-09
disc_cluster0_up	45	NCAM2	-0.697054368616644	9.47820979243379e-12	1.53862938963842e-09
disc_cluster0_up	46	STXBP5L	-0.702438461845615	2.23450561992307e-11	3.4983080706766e-09
disc_cluster0_up	47	FAM19A2	-0.651773718687133	2.25079369365914e-11	3.4983080706766e-09
disc_cluster0_up	48	CNTN1	-0.593966216014161	2.33425908159943e-11	3.55245053980913e-09
disc_cluster0_up	49	GRIK2	-0.626119799846069	2.54265219295134e-11	3.77136211536936e-09
disc_cluster0_up	50	MYT1L	-0.679612036453172	2.58135668403105e-11	3.77136211536936e-09
disc_cluster0_up	51	DPP10	-0.725428676227701	3.03424203402689e-11	4.3461055016797e-09
disc_cluster0_up	52	MTUS2	-0.799086080734282	3.53966239315902e-11	4.97254495808204e-09
disc_cluster0_up	53	MT3	-0.693473437250002	4.36202943810247e-11	6.01219340478086e-09
disc_cluster0_up	54	PCDH9	-0.791521330208234	4.46051999442192e-11	6.03409232578744e-09
disc_cluster0_up	55	NCAM1	-0.675540664300619	4.69011972317775e-11	6.22933174142063e-09
disc_cluster0_up	56	PCDH15	-0.732111444648509	5.91383376519778e-11	7.71438493835175e-09
disc_cluster0_up	57	GABRB1	-0.853221163633215	8.23333712855112e-11	1.05516715305379e-08
disc_cluster0_up	58	TENM2	-0.618663423640568	8.49681596386922e-11	1.07015932096663e-08
disc_cluster0_up	59	TIMM23B	-0.604265524753498	8.79041808696835e-11	1.08837295127634e-08
disc_cluster0_up	60	LSAMP	-0.783441583304748	1.22260385524725e-10	1.48316850271896e-08
disc_cluster0_up	61	COL19A1	-0.799537658566207	1.23851168604869e-10	1.48316850271896e-08
disc_cluster0_up	62	CHRM3	-0.852600783611396	1.69167341593188e-10	1.99317327473909e-08
disc_cluster0_up	63	CACNA1B	-0.684412572344347	1.79152541496557e-10	2.07731637401961e-08
disc_cluster0_up	64	FAM155A	-0.790508850928799	1.82063283035986e-10	2.07808169152793e-08
disc_cluster0_up	65	IQCJ-SCHIP1	-0.682377785671499	2.00303566078198e-10	2.25110392338652e-08
disc_cluster0_up	66	LRFN5	-0.66795101553059	2.07639952381833e-10	2.29819674568074e-08
disc_cluster0_up	67	MDGA2	-0.594504381683711	2.28893326790222e-10	2.49562052567548e-08
disc_cluster0_up	68	NELL1	-0.921734492793203	2.32924132726763e-10	2.50222174936618e-08
disc_cluster0_up	69	NTRK2	-0.655090643829739	2.46986130250205e-10	2.61483142243152e-08
disc_cluster0_up	70	PRKG1	-0.688397609171013	2.80323732717875e-10	2.92537838214869e-08
disc_cluster0_up	71	ERBB4	-0.731724681544319	2.97882459373909e-10	3.06483290947381e-08
disc_cluster0_up	72	ADGRV1	-0.781538550406248	3.24348833293387e-10	3.24648703373706e-08
disc_cluster0_up	73	PLP1	-0.665303713887825	3.24426493446688e-10	3.24648703373706e-08
disc_cluster0_up	74	ANKRD30BL	-0.663368305030489	3.51423875183434e-10	3.46912352461484e-08
disc_cluster0_up	75	FGF12	-0.570799078475557	3.66210353323715e-10	3.56688884137299e-08
disc_cluster0_up	76	OPCML	-0.700995135438607	3.96453789872152e-10	3.8106512302843e-08
disc_cluster0_up	77	PDE1A	-0.668562216668411	4.13329860910596e-10	3.92126575837909e-08
disc_cluster0_up	78	GPC6	-0.743720407366847	4.24550613863054e-10	3.97607978752514e-08
disc_cluster0_up	79	AC245060.5	-0.941368830700872	4.37696849764307e-10	4.02205540617128e-08
disc_cluster0_up	80	DGKB	-0.659979099726957	4.40471502386998e-10	4.02205540617128e-08
disc_cluster0_up	81	EDIL3	-0.671076609027378	4.57513868169796e-10	4.12609729256834e-08
disc_cluster0_up	82	FAM19A1	-0.667600845475865	5.11736486294802e-10	4.55882321022382e-08
disc_cluster0_up	83	PCDH7	-0.541155053262939	5.30088281044224e-10	4.60987487265244e-08
disc_cluster0_up	84	CDH12	-0.661175432062542	5.77044294486823e-10	4.95918655438381e-08
disc_cluster0_up	85	BPTF	-0.348058770359105	5.8944190606626e-10	5.00682921373724e-08
disc_cluster0_up	86	PLCB1	-0.675359265555451	6.40360141348394e-10	5.37681704890807e-08
disc_cluster0_up	87	RYR2	-0.781724136462579	6.50818506428832e-10	5.40253316984388e-08
disc_cluster0_up	88	DLGAP1	-0.837574069003792	9.04206591519908e-10	7.33914350116992e-08
disc_cluster0_up	89	ADARB2	-0.755817439816531	9.46141843942424e-10	7.59512765934001e-08
disc_cluster0_up	90	ATRNL1	-0.596438110265146	9.84997838729421e-10	7.82109696947654e-08
disc_cluster0_up	91	GRIA2	-0.609689887075484	1.11616939019183e-09	8.76733053263579e-08
disc_cluster0_up	92	LRRC4C	-0.611638272484653	1.18400687069826e-09	9.20124488345832e-08
disc_cluster0_up	93	PTPRD	-0.866704957284367	1.19724299378988e-09	9.20616849435271e-08
disc_cluster0_up	94	CDC42BPA	-0.587303417479876	1.25440578656348e-09	9.54524403213146e-08
disc_cluster0_up	95	SPOCK3	-0.702866493294312	1.33151972262618e-09	1.00275789420456e-07
disc_cluster0_up	96	ADGRL2	-0.639647726121115	1.39151379380306e-09	1.03724574119708e-07
disc_cluster0_up	97	AC244021.1	-0.534791249495742	1.49975181547611e-09	1.10663505172253e-07
disc_cluster0_up	98	CALN1	-0.788551082384354	1.67658497126205e-09	1.22474532150692e-07
disc_cluster0_up	99	PREX2	-0.970528764271495	1.74135787927918e-09	1.25946725823113e-07
disc_cluster0_up	100	CNTN3	-0.789052502894532	2.18112408405804e-09	1.56206974843569e-07
